"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#2 Test Login with a valid username and invalid password","12876","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Sun Jan 19 18:42:24 GMT 2025","passed","Sun Jan 19 18:42:37 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#8 Test create test case","62132","#8 Test create test case","Global UI suite","Sun Jan 19 18:43:44 GMT 2025","passed","Sun Jan 19 18:44:46 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#6 Test update project","55838","#6 Test update project","Global UI suite","Sun Jan 19 18:44:28 GMT 2025","passed","Sun Jan 19 18:45:24 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#10 Test delete test case","35556","#10 Test delete test case","Global UI suite","Sun Jan 19 18:45:01 GMT 2025","passed","Sun Jan 19 18:45:36 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#1 Test Login with a valid username and password","22435","testLoginWithAValidUsernameAndPassword","Global UI suite","Sun Jan 19 18:42:38 GMT 2025","passed","Sun Jan 19 18:43:01 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#5 Test create project","44851","#5 Test create project","Global UI suite","Sun Jan 19 18:42:39 GMT 2025","passed","Sun Jan 19 18:43:23 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#13 Test delete suite","34341","#13 Test delete suite","Global UI suite","Sun Jan 19 18:46:30 GMT 2025","passed","Sun Jan 19 18:47:04 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#9 Test update test case","82350","#9 Test update test case","Global UI suite","Sun Jan 19 18:45:53 GMT 2025","passed","Sun Jan 19 18:47:15 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#12 Test update suite","37904","#12 Test update suite","Global UI suite","Sun Jan 19 18:47:19 GMT 2025","passed","Sun Jan 19 18:47:57 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#7 Test delete project","34054","#7 Test delete project","Global UI suite","Sun Jan 19 18:43:38 GMT 2025","passed","Sun Jan 19 18:44:12 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#11 Test create suite","36027","#11 Test create suite","Global UI suite","Sun Jan 19 18:45:39 GMT 2025","passed","Sun Jan 19 18:46:15 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#3 Test Login with invalid username and valid password","12664","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Sun Jan 19 18:43:16 GMT 2025","passed","Sun Jan 19 18:43:29 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#4 Test Login with invalid username and invalid password","12657","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Sun Jan 19 18:43:02 GMT 2025","passed","Sun Jan 19 18:43:15 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
