"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#5 Test create project","45488","#5 Test create project","Global UI suite","Wed Jan 15 21:01:35 GMT 2025","passed","Wed Jan 15 21:02:21 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#3 Test Login with invalid username and valid password","13019","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Wed Jan 15 21:02:13 GMT 2025","passed","Wed Jan 15 21:02:26 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#1 Test Login with a valid username and password","22476","testLoginWithAValidUsernameAndPassword","Global UI suite","Wed Jan 15 21:01:35 GMT 2025","passed","Wed Jan 15 21:01:57 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#6 Test update project","55975","#6 Test update project","Global UI suite","Wed Jan 15 21:03:30 GMT 2025","passed","Wed Jan 15 21:04:26 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#9 Test update test case","102255","#9 Test update test case","Global UI suite","Wed Jan 15 21:04:24 GMT 2025","passed","Wed Jan 15 21:06:07 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#8 Test create test case","85393","#8 Test create test case","Global UI suite","Wed Jan 15 21:02:43 GMT 2025","passed","Wed Jan 15 21:04:09 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#2 Test Login with a valid username and invalid password","13787","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:01:20 GMT 2025","passed","Wed Jan 15 21:01:34 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#7 Test delete project","37761","#7 Test delete project","Global UI suite","Wed Jan 15 21:02:37 GMT 2025","passed","Wed Jan 15 21:03:15 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#4 Test Login with invalid username and invalid password","13064","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:01:59 GMT 2025","passed","Wed Jan 15 21:02:12 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
