"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","tearDown","Global suite","Sun Jan 12 09:48:57 GMT 2025","broken","Sun Jan 12 09:48:57 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","tearDown"
"","835","createProjectTest","Global suite","Sun Jan 12 09:48:01 GMT 2025","passed","Sun Jan 12 09:48:02 GMT 2025","tests.ProjectTest","#1 dont work git actions :( ","tests.ProjectTest","createProjectTest"
"","53399","testLoginWithAValidUsernameAndPassword","Global suite","Sun Jan 12 09:48:03 GMT 2025","failed","Sun Jan 12 09:48:57 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
