"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#1 Test Login with a valid username and password","22360","testLoginWithAValidUsernameAndPassword","Global UI suite","Mon Jan 13 21:07:28 GMT 2025","passed","Mon Jan 13 21:07:51 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#6 Test update project","55902","#6 Test update project","Global UI suite","Mon Jan 13 21:09:21 GMT 2025","passed","Mon Jan 13 21:10:17 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","updateProjectTest"
"#5 Test create project","45878","#5 Test create project","Global UI suite","Mon Jan 13 21:07:29 GMT 2025","passed","Mon Jan 13 21:08:15 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","createProjectTest"
"#4 Test Login with invalid username and invalid password","12779","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Mon Jan 13 21:07:52 GMT 2025","passed","Mon Jan 13 21:08:05 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#2 Test Login with a valid username and invalid password","13378","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Mon Jan 13 21:07:14 GMT 2025","passed","Mon Jan 13 21:07:27 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#7 Test delete project","33907","#7 Test delete project","Global UI suite","Mon Jan 13 21:08:31 GMT 2025","passed","Mon Jan 13 21:09:05 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","deleteProjectTest"
"#3 Test Login with invalid username and valid password","12839","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Mon Jan 13 21:08:06 GMT 2025","passed","Mon Jan 13 21:08:19 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
