"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#1 Test Login with a valid username and password","22372","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 13:17:17 GMT 2025","passed","Mon Jan 13 13:17:39 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#4 Test Login with invalid username and invalid password","12749","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 13:18:12 GMT 2025","passed","Mon Jan 13 13:18:25 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#2 Test Login with a valid username and invalid password","13339","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 13:17:41 GMT 2025","passed","Mon Jan 13 13:17:54 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#5 Test create project","43356","#5 Test create project","Projects page","Mon Jan 13 13:18:41 GMT 2025","passed","Mon Jan 13 13:19:25 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#3 Test Login with invalid username and valid password","14447","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 13:17:56 GMT 2025","passed","Mon Jan 13 13:18:10 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
