"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#6 Test update project","262","#6 Test update project","Projects page","Mon Jan 13 16:25:59 GMT 2025","failed","Mon Jan 13 16:25:59 GMT 2025","tests.ProjectsPageTest","#6 Test update project","tests.ProjectsPageTest","updateProjectTest"
"#4 Test Login with invalid username and invalid password","12797","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:24:30 GMT 2025","passed","Mon Jan 13 16:24:42 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#7 Test delete project","260","#7 Test delete project","Projects page","Mon Jan 13 16:26:15 GMT 2025","failed","Mon Jan 13 16:26:15 GMT 2025","tests.ProjectsPageTest","#7 Test delete project","tests.ProjectsPageTest","deleteProjectTest"
"#5 Test create project","45310","#5 Test create project","Projects page","Mon Jan 13 16:24:58 GMT 2025","failed","Mon Jan 13 16:25:43 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#3 Test Login with invalid username and valid password","12775","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 16:24:16 GMT 2025","passed","Mon Jan 13 16:24:28 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#2 Test Login with a valid username and invalid password","12818","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:24:01 GMT 2025","passed","Mon Jan 13 16:24:14 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#1 Test Login with a valid username and password","23454","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 16:23:37 GMT 2025","passed","Mon Jan 13 16:24:00 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
