"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53459","testLoginWithAValidUsernameAndPassword","Global suite","Sun Jan 12 08:54:15 GMT 2025","failed","Sun Jan 12 08:55:09 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"","1198","createProjectTest","Global suite","Sun Jan 12 08:54:13 GMT 2025","passed","Sun Jan 12 08:54:14 GMT 2025","tests.ProjectTest","#1 dont work git actions :( ","tests.ProjectTest","createProjectTest"
"","0","tearDown","Global suite","Sun Jan 12 08:55:09 GMT 2025","broken","Sun Jan 12 08:55:09 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","tearDown"
