"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#4 Test Login with invalid username and invalid password","13043","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 12:58:26 GMT 2025","passed","Mon Jan 13 12:58:39 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#1 Test Login with a valid username and password","22338","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 12:57:34 GMT 2025","passed","Mon Jan 13 12:57:57 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#5 Test create project","30705","#5 Test create project","Projects page","Mon Jan 13 12:58:55 GMT 2025","failed","Mon Jan 13 12:59:26 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#3 Test Login with invalid username and valid password","12862","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 12:58:12 GMT 2025","passed","Mon Jan 13 12:58:25 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#2 Test Login with a valid username and invalid password","12803","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 12:57:58 GMT 2025","passed","Mon Jan 13 12:58:11 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
