"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#13 Test delete suite","34631","#13 Test delete suite","Global UI suite","Sun Jan 19 20:55:30 GMT 2025","passed","Sun Jan 19 20:56:05 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#11 Test create suite","36487","#11 Test create suite","Global UI suite","Sun Jan 19 20:54:38 GMT 2025","passed","Sun Jan 19 20:55:15 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#12 Test update suite","37684","#12 Test update suite","Global UI suite","Sun Jan 19 20:56:21 GMT 2025","passed","Sun Jan 19 20:56:58 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#4 Test Login with invalid username and invalid password","12729","#4 Test Login with invalid username and invalid password","Global UI suite","Sun Jan 19 20:51:58 GMT 2025","passed","Sun Jan 19 20:52:11 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#5 Test create project","45323","#5 Test create project","Global UI suite","Sun Jan 19 20:51:35 GMT 2025","passed","Sun Jan 19 20:52:20 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#9 Test update test case","82815","#9 Test update test case","Global UI suite","Sun Jan 19 20:54:53 GMT 2025","passed","Sun Jan 19 20:56:16 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#3 Test Login with invalid username and valid password","12786","#3 Test Login with invalid username and valid password","Global UI suite","Sun Jan 19 20:52:12 GMT 2025","passed","Sun Jan 19 20:52:25 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#7 Test delete project","34031","#7 Test delete project","Global UI suite","Sun Jan 19 20:52:36 GMT 2025","passed","Sun Jan 19 20:53:10 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#10 Test delete test case","36398","#10 Test delete test case","Global UI suite","Sun Jan 19 20:53:59 GMT 2025","passed","Sun Jan 19 20:54:35 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#8 Test create test case","62690","#8 Test create test case","Global UI suite","Sun Jan 19 20:52:41 GMT 2025","passed","Sun Jan 19 20:53:43 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#2 Test Login with a valid username and invalid password","12873","#2 Test Login with a valid username and invalid password","Global UI suite","Sun Jan 19 20:51:20 GMT 2025","passed","Sun Jan 19 20:51:33 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#6 Test update project","55815","#6 Test update project","Global UI suite","Sun Jan 19 20:53:26 GMT 2025","passed","Sun Jan 19 20:54:22 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#1 Test Login with a valid username and password","22474","#1 Test Login with a valid username and password","Global UI suite","Sun Jan 19 20:51:34 GMT 2025","passed","Sun Jan 19 20:51:57 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
