"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","createProjectTest","Global suite","Sun Jan 12 11:30:02 GMT 2025","passed","Sun Jan 12 11:30:03 GMT 2025","tests.ProjectTest","#1 dont work git actions :( ","tests.ProjectTest","createProjectTest"
"","22733","testLoginWithAValidUsernameAndPassword","Global suite","Sun Jan 12 11:30:05 GMT 2025","passed","Sun Jan 12 11:30:28 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
