"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#6 Test update project","67298","#6 Test update project","Global UI suite","Mon Jan 13 19:54:29 GMT 2025","failed","Mon Jan 13 19:55:36 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","updateProjectTest"
"#4 Test Login with invalid username and invalid password","12707","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Mon Jan 13 19:52:28 GMT 2025","passed","Mon Jan 13 19:52:40 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#3 Test Login with invalid username and valid password","12779","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Mon Jan 13 19:52:42 GMT 2025","passed","Mon Jan 13 19:52:55 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#5 Test create project","45540","#5 Test create project","Global UI suite","Mon Jan 13 19:52:05 GMT 2025","passed","Mon Jan 13 19:52:50 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","createProjectTest"
"#2 Test Login with a valid username and invalid password","12850","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Mon Jan 13 19:51:50 GMT 2025","passed","Mon Jan 13 19:52:03 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#7 Test delete project","33979","#7 Test delete project","Global UI suite","Mon Jan 13 19:53:06 GMT 2025","passed","Mon Jan 13 19:53:40 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","deleteProjectTest"
"#1 Test Login with a valid username and password","22237","testLoginWithAValidUsernameAndPassword","Global UI suite","Mon Jan 13 19:52:04 GMT 2025","passed","Mon Jan 13 19:52:26 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
