"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","openPage","Global suite","Tue Jan 07 22:19:02 GMT 2025","broken","Tue Jan 07 22:19:02 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","openPage"
"","1386","createProjectTest","Global suite","Tue Jan 07 22:19:01 GMT 2025","passed","Tue Jan 07 22:19:02 GMT 2025","tests.ProjectTest","#1 dont work git actions :( ","tests.ProjectTest","createProjectTest"
"","0","testLoginWithAValidUsernameAndPassword","Global suite","Tue Jan 07 22:19:02 GMT 2025","skipped","Tue Jan 07 22:19:02 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
