"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#3 Test Login with invalid username and valid password","12795","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 13:17:58 GMT 2025","passed","Mon Jan 13 13:18:11 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#5 Test create project","54421","#5 Test create project","Projects page","Mon Jan 13 13:18:44 GMT 2025","failed","Mon Jan 13 13:19:38 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#4 Test Login with invalid username and invalid password","12893","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 13:18:12 GMT 2025","passed","Mon Jan 13 13:18:25 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#1 Test Login with a valid username and password","22572","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 13:17:19 GMT 2025","passed","Mon Jan 13 13:17:41 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#2 Test Login with a valid username and invalid password","12862","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 13:17:44 GMT 2025","passed","Mon Jan 13 13:17:57 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
