"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#6 Test update project","260","#6 Test update project","Global UI suite","Tue Jan 14 16:05:27 GMT 2025","failed","Tue Jan 14 16:05:28 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","updateProjectTest"
"#7 Test delete project","342","#7 Test delete project","Global UI suite","Tue Jan 14 16:04:39 GMT 2025","failed","Tue Jan 14 16:04:39 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","deleteProjectTest"
"#1 Test Login with a valid username and password","28909","testLoginWithAValidUsernameAndPassword","Global UI suite","Tue Jan 14 16:01:42 GMT 2025","passed","Tue Jan 14 16:02:11 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#2 Test Login with a valid username and invalid password","13957","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Tue Jan 14 16:01:27 GMT 2025","passed","Tue Jan 14 16:01:41 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#4 Test Login with invalid username and invalid password","12806","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Tue Jan 14 16:02:13 GMT 2025","passed","Tue Jan 14 16:02:25 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#5 Test create project","30679","#5 Test create project","Global UI suite","Tue Jan 14 16:03:19 GMT 2025","failed","Tue Jan 14 16:03:50 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","createProjectTest"
"#3 Test Login with invalid username and valid password","14093","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Tue Jan 14 16:02:27 GMT 2025","passed","Tue Jan 14 16:02:41 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
