"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#3 Test Login with invalid username and valid password","12739","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 16:19:05 GMT 2025","passed","Mon Jan 13 16:19:18 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#1 Test Login with a valid username and password","22916","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 16:18:26 GMT 2025","passed","Mon Jan 13 16:18:49 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#6 Test update project","271","#6 Test update project","Projects page","Mon Jan 13 16:20:51 GMT 2025","failed","Mon Jan 13 16:20:51 GMT 2025","tests.ProjectsPageTest","#6 Test update project","tests.ProjectsPageTest","updateProjectTest"
"#7 Test delete project","283","#7 Test delete project","Projects page","Mon Jan 13 16:21:08 GMT 2025","failed","Mon Jan 13 16:21:08 GMT 2025","tests.ProjectsPageTest","#7 Test delete project","tests.ProjectsPageTest","deleteProjectTest"
"#5 Test create project","45523","#5 Test create project","Projects page","Mon Jan 13 16:19:48 GMT 2025","failed","Mon Jan 13 16:20:33 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#2 Test Login with a valid username and invalid password","13095","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:18:51 GMT 2025","passed","Mon Jan 13 16:19:04 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#4 Test Login with invalid username and invalid password","12951","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:19:19 GMT 2025","passed","Mon Jan 13 16:19:32 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
