"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#12 Test update suite","37125","#12 Test update suite","Global UI suite","Sun Jan 19 19:02:27 GMT 2025","passed","Sun Jan 19 19:03:04 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#5 Test create project","44845","#5 Test create project","Global UI suite","Sun Jan 19 18:57:44 GMT 2025","passed","Sun Jan 19 18:58:29 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#8 Test create test case","62308","#8 Test create test case","Global UI suite","Sun Jan 19 18:58:50 GMT 2025","passed","Sun Jan 19 18:59:52 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#11 Test create suite","36182","#11 Test create suite","Global UI suite","Sun Jan 19 19:00:46 GMT 2025","passed","Sun Jan 19 19:01:22 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#10 Test delete test case","34938","#10 Test delete test case","Global UI suite","Sun Jan 19 19:00:07 GMT 2025","passed","Sun Jan 19 19:00:42 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#1 Test Login with a valid username and password","22617","#1 Test Login with a valid username and password","Global UI suite","Sun Jan 19 18:57:44 GMT 2025","passed","Sun Jan 19 18:58:07 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#13 Test delete suite","33992","#13 Test delete suite","Global UI suite","Sun Jan 19 19:01:38 GMT 2025","passed","Sun Jan 19 19:02:12 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#4 Test Login with invalid username and invalid password","12674","#4 Test Login with invalid username and invalid password","Global UI suite","Sun Jan 19 18:58:08 GMT 2025","passed","Sun Jan 19 18:58:21 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#9 Test update test case","81807","#9 Test update test case","Global UI suite","Sun Jan 19 19:00:57 GMT 2025","passed","Sun Jan 19 19:02:19 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#7 Test delete project","34974","#7 Test delete project","Global UI suite","Sun Jan 19 18:58:45 GMT 2025","passed","Sun Jan 19 18:59:20 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#6 Test update project","55610","#6 Test update project","Global UI suite","Sun Jan 19 18:59:35 GMT 2025","passed","Sun Jan 19 19:00:30 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#3 Test Login with invalid username and valid password","12719","#3 Test Login with invalid username and valid password","Global UI suite","Sun Jan 19 18:58:22 GMT 2025","passed","Sun Jan 19 18:58:34 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#2 Test Login with a valid username and invalid password","13101","#2 Test Login with a valid username and invalid password","Global UI suite","Sun Jan 19 18:57:30 GMT 2025","passed","Sun Jan 19 18:57:43 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
