"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#7 Test delete project","33996","#7 Test delete project","Global UI suite","Sun Jan 19 22:00:57 GMT 2025","passed","Sun Jan 19 22:01:31 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#6 Test update project","331","#6 Test update project","Global UI suite","Sun Jan 19 22:02:17 GMT 2025","failed","Sun Jan 19 22:02:17 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#10 Test delete test case","230","#10 Test delete test case","Global UI suite","Sun Jan 19 22:02:50 GMT 2025","failed","Sun Jan 19 22:02:50 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#13 Test delete suite","253","#13 Test delete suite","Global UI suite","Sun Jan 19 22:04:09 GMT 2025","failed","Sun Jan 19 22:04:09 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#3 Test Login with invalid username and valid password","12667","#3 Test Login with invalid username and valid password","Global UI suite","Sun Jan 19 22:00:33 GMT 2025","passed","Sun Jan 19 22:00:46 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#11 Test create suite","35794","#11 Test create suite","Global UI suite","Sun Jan 19 22:02:47 GMT 2025","passed","Sun Jan 19 22:03:23 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#9 Test update test case","82767","#9 Test update test case","Global UI suite","Sun Jan 19 22:03:20 GMT 2025","passed","Sun Jan 19 22:04:43 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#5 Test create project","44932","#5 Test create project","Global UI suite","Sun Jan 19 21:59:56 GMT 2025","passed","Sun Jan 19 22:00:41 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#8 Test create test case","62623","#8 Test create test case","Global UI suite","Sun Jan 19 22:01:01 GMT 2025","passed","Sun Jan 19 22:02:04 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#1 Test Login with a valid username and password","22648","#1 Test Login with a valid username and password","Global UI suite","Sun Jan 19 21:59:56 GMT 2025","passed","Sun Jan 19 22:00:18 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#4 Test Login with invalid username and invalid password","12665","#4 Test Login with invalid username and invalid password","Global UI suite","Sun Jan 19 22:00:20 GMT 2025","passed","Sun Jan 19 22:00:32 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#2 Test Login with a valid username and invalid password","13023","#2 Test Login with a valid username and invalid password","Global UI suite","Sun Jan 19 21:59:42 GMT 2025","passed","Sun Jan 19 21:59:55 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#12 Test update suite","36868","#12 Test update suite","Global UI suite","Sun Jan 19 22:04:56 GMT 2025","passed","Sun Jan 19 22:05:33 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
