"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33167","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 11:55:03 GMT 2025","passed","Mon Jan 13 11:55:36 GMT 2025","tests.LoginPageTest","#2 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"","32488","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 11:56:45 GMT 2025","failed","Mon Jan 13 11:57:18 GMT 2025","tests.LoginPageTest","#5 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"","30681","createProjectTest","Projects page","Mon Jan 13 11:57:52 GMT 2025","failed","Mon Jan 13 11:58:23 GMT 2025","tests.ProjectsTest","#1 dont work git actions :( ","tests.ProjectsTest","createProjectTest"
"","32633","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 11:55:38 GMT 2025","failed","Mon Jan 13 11:56:10 GMT 2025","tests.LoginPageTest","#3 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"","32399","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 11:56:12 GMT 2025","failed","Mon Jan 13 11:56:44 GMT 2025","tests.LoginPageTest","#4 dont work git actions. Its sad :( ","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
