"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#6 Test update project","56046","#6 Test update project","Projects page","Mon Jan 13 17:47:21 GMT 2025","passed","Mon Jan 13 17:48:17 GMT 2025","tests.ProjectsPageTest","#6 Test update project","tests.ProjectsPageTest","updateProjectTest"
"#4 Test Login with invalid username and invalid password","12774","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 17:45:52 GMT 2025","passed","Mon Jan 13 17:46:05 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#2 Test Login with a valid username and invalid password","12904","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 17:45:24 GMT 2025","passed","Mon Jan 13 17:45:37 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#7 Test delete project","34559","#7 Test delete project","Projects page","Mon Jan 13 17:48:33 GMT 2025","passed","Mon Jan 13 17:49:07 GMT 2025","tests.ProjectsPageTest","#7 Test delete project","tests.ProjectsPageTest","deleteProjectTest"
"#3 Test Login with invalid username and valid password","13044","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 17:45:38 GMT 2025","passed","Mon Jan 13 17:45:51 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#5 Test create project","45182","#5 Test create project","Projects page","Mon Jan 13 17:46:20 GMT 2025","passed","Mon Jan 13 17:47:05 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#1 Test Login with a valid username and password","23092","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 17:44:59 GMT 2025","passed","Mon Jan 13 17:45:22 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
