"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#3 Test Login with invalid username and valid password","13165","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Wed Jan 15 21:11:39 GMT 2025","passed","Wed Jan 15 21:11:52 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#7 Test delete project","34680","#7 Test delete project","Global UI suite","Wed Jan 15 21:12:05 GMT 2025","passed","Wed Jan 15 21:12:39 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#1 Test Login with a valid username and password","22493","testLoginWithAValidUsernameAndPassword","Global UI suite","Wed Jan 15 21:11:01 GMT 2025","passed","Wed Jan 15 21:11:23 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#6 Test update project","55790","#6 Test update project","Global UI suite","Wed Jan 15 21:13:14 GMT 2025","passed","Wed Jan 15 21:14:10 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#4 Test Login with invalid username and invalid password","12819","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:11:25 GMT 2025","passed","Wed Jan 15 21:11:37 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#8 Test create test case","85740","#8 Test create test case","Global UI suite","Wed Jan 15 21:12:41 GMT 2025","passed","Wed Jan 15 21:14:07 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#2 Test Login with a valid username and invalid password","12836","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:10:46 GMT 2025","passed","Wed Jan 15 21:10:59 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#9 Test update test case","102767","#9 Test update test case","Global UI suite","Wed Jan 15 21:14:23 GMT 2025","passed","Wed Jan 15 21:16:06 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#5 Test create project","45610","#5 Test create project","Global UI suite","Wed Jan 15 21:11:01 GMT 2025","passed","Wed Jan 15 21:11:47 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
