"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#1 Test Login with a valid username and password","22672","testLoginWithAValidUsernameAndPassword","Global UI suite","Wed Jan 15 21:11:40 GMT 2025","passed","Wed Jan 15 21:12:03 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#3 Test Login with invalid username and valid password","13053","testLoginWithInvalidUsernameAndValidPassword","Global UI suite","Wed Jan 15 21:12:19 GMT 2025","passed","Wed Jan 15 21:12:32 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#8 Test create test case","275","#8 Test create test case","Global UI suite","Wed Jan 15 21:13:22 GMT 2025","failed","Wed Jan 15 21:13:22 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#4 Test Login with invalid username and invalid password","13486","testLoginWithInvalidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:12:04 GMT 2025","passed","Wed Jan 15 21:12:18 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#7 Test delete project","34682","#7 Test delete project","Global UI suite","Wed Jan 15 21:12:41 GMT 2025","passed","Wed Jan 15 21:13:16 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#6 Test update project","250","#6 Test update project","Global UI suite","Wed Jan 15 21:14:04 GMT 2025","failed","Wed Jan 15 21:14:04 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#5 Test create project","45190","#5 Test create project","Global UI suite","Wed Jan 15 21:11:40 GMT 2025","passed","Wed Jan 15 21:12:26 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#2 Test Login with a valid username and invalid password","13286","testLoginWithAValidUsernameAndInvalidPassword","Global UI suite","Wed Jan 15 21:11:25 GMT 2025","passed","Wed Jan 15 21:11:39 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#9 Test update test case","102450","#9 Test update test case","Global UI suite","Wed Jan 15 21:14:09 GMT 2025","passed","Wed Jan 15 21:15:51 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
