"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","4","0","","0"
"0","","1","Test-case","1","0","","0"
"0","","1","Projects","2","0","","0"
