"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22613","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 12:41:31 GMT 2025","passed","Mon Jan 13 12:41:53 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"","12863","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 12:42:23 GMT 2025","passed","Mon Jan 13 12:42:36 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"","30894","createProjectTest","Projects page","Mon Jan 13 12:42:51 GMT 2025","failed","Mon Jan 13 12:43:22 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"","12850","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 12:41:55 GMT 2025","passed","Mon Jan 13 12:42:07 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"","12773","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 12:42:09 GMT 2025","passed","Mon Jan 13 12:42:22 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
