"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#3 Test Login with invalid username and valid password","12829","testLoginWithInvalidUsernameAndValidPassword","Login page","Mon Jan 13 16:41:27 GMT 2025","passed","Mon Jan 13 16:41:40 GMT 2025","tests.LoginPageTest","#3 Test Login with invalid username and valid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#1 Test Login with a valid username and password","22791","testLoginWithAValidUsernameAndPassword","Login page","Mon Jan 13 16:40:49 GMT 2025","passed","Mon Jan 13 16:41:12 GMT 2025","tests.LoginPageTest","#1 Test Login with a valid username and password","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#6 Test update project","340","#6 Test update project","Projects page","Mon Jan 13 16:43:11 GMT 2025","failed","Mon Jan 13 16:43:11 GMT 2025","tests.ProjectsPageTest","#6 Test update project","tests.ProjectsPageTest","updateProjectTest"
"#5 Test create project","45374","#5 Test create project","Projects page","Mon Jan 13 16:42:09 GMT 2025","failed","Mon Jan 13 16:42:55 GMT 2025","tests.ProjectsPageTest","#5 Test create project","tests.ProjectsPageTest","createProjectTest"
"#2 Test Login with a valid username and invalid password","12899","testLoginWithAValidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:41:13 GMT 2025","passed","Mon Jan 13 16:41:26 GMT 2025","tests.LoginPageTest","#2 Test Login with a valid username and invalid password","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#7 Test delete project","302","#7 Test delete project","Projects page","Mon Jan 13 16:43:27 GMT 2025","failed","Mon Jan 13 16:43:27 GMT 2025","tests.ProjectsPageTest","#7 Test delete project","tests.ProjectsPageTest","deleteProjectTest"
"#4 Test Login with invalid username and invalid password","12849","testLoginWithInvalidUsernameAndInvalidPassword","Login page","Mon Jan 13 16:41:41 GMT 2025","passed","Mon Jan 13 16:41:54 GMT 2025","tests.LoginPageTest","#4 Test Login with invalid username and invalid password","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
