"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#1 Test Login with a valid username and password","22170","#1 Test Login with a valid username and password","Global UI suite","Sun Jan 19 22:00:06 GMT 2025","passed","Sun Jan 19 22:00:28 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#10 Test delete test case","36286","#10 Test delete test case","Global UI suite","Sun Jan 19 22:02:01 GMT 2025","passed","Sun Jan 19 22:02:37 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#4 Test Login with invalid username and invalid password","12717","#4 Test Login with invalid username and invalid password","Global UI suite","Sun Jan 19 22:00:30 GMT 2025","passed","Sun Jan 19 22:00:43 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#2 Test Login with a valid username and invalid password","13056","#2 Test Login with a valid username and invalid password","Global UI suite","Sun Jan 19 21:59:52 GMT 2025","passed","Sun Jan 19 22:00:05 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#8 Test create test case","446","#8 Test create test case","Global UI suite","Sun Jan 19 22:01:45 GMT 2025","failed","Sun Jan 19 22:01:45 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#3 Test Login with invalid username and valid password","12701","#3 Test Login with invalid username and valid password","Global UI suite","Sun Jan 19 22:00:44 GMT 2025","passed","Sun Jan 19 22:00:57 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#13 Test delete suite","35241","#13 Test delete suite","Global UI suite","Sun Jan 19 22:04:52 GMT 2025","passed","Sun Jan 19 22:05:27 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#11 Test create suite","396","#11 Test create suite","Global UI suite","Sun Jan 19 22:04:02 GMT 2025","failed","Sun Jan 19 22:04:02 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#9 Test update test case","83926","#9 Test update test case","Global UI suite","Sun Jan 19 22:03:26 GMT 2025","passed","Sun Jan 19 22:04:50 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#12 Test update suite","37458","#12 Test update suite","Global UI suite","Sun Jan 19 22:05:43 GMT 2025","passed","Sun Jan 19 22:06:20 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#5 Test create project","45218","#5 Test create project","Global UI suite","Sun Jan 19 22:00:07 GMT 2025","passed","Sun Jan 19 22:00:52 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#6 Test update project","55832","#6 Test update project","Global UI suite","Sun Jan 19 22:02:15 GMT 2025","passed","Sun Jan 19 22:03:11 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#7 Test delete project","33957","#7 Test delete project","Global UI suite","Sun Jan 19 22:01:24 GMT 2025","passed","Sun Jan 19 22:01:58 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
