"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#8 Test create test case","65971","#8 Test create test case","Global UI suite","Thu Jan 23 14:22:13 GMT 2025","passed","Thu Jan 23 14:23:19 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#4 Test Login with invalid username and invalid password","13037","#4 Test Login with invalid username and invalid password","Global UI suite","Thu Jan 23 14:21:30 GMT 2025","passed","Thu Jan 23 14:21:43 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#3 Test Login with invalid username and valid password","12881","#3 Test Login with invalid username and valid password","Global UI suite","Thu Jan 23 14:21:44 GMT 2025","passed","Thu Jan 23 14:21:57 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#11 Test create suite","36549","#11 Test create suite","Global UI suite","Thu Jan 23 14:24:11 GMT 2025","passed","Thu Jan 23 14:24:48 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#6 Test update project","56766","#6 Test update project","Global UI suite","Thu Jan 23 14:22:59 GMT 2025","passed","Thu Jan 23 14:23:55 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#9 Test update test case","82670","#9 Test update test case","Global UI suite","Thu Jan 23 14:24:28 GMT 2025","passed","Thu Jan 23 14:25:51 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#10 Test delete test case","37501","#10 Test delete test case","Global UI suite","Thu Jan 23 14:23:34 GMT 2025","passed","Thu Jan 23 14:24:12 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#5 Test create project","45444","#5 Test create project","Global UI suite","Thu Jan 23 14:21:07 GMT 2025","passed","Thu Jan 23 14:21:53 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#2 Test Login with a valid username and invalid password","12990","#2 Test Login with a valid username and invalid password","Global UI suite","Thu Jan 23 14:20:52 GMT 2025","passed","Thu Jan 23 14:21:05 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
"#1 Test Login with a valid username and password","22495","#1 Test Login with a valid username and password","Global UI suite","Thu Jan 23 14:21:06 GMT 2025","passed","Thu Jan 23 14:21:29 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#7 Test delete project","34287","#7 Test delete project","Global UI suite","Thu Jan 23 14:22:08 GMT 2025","passed","Thu Jan 23 14:22:43 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#12 Test update suite","37162","#12 Test update suite","Global UI suite","Thu Jan 23 14:25:56 GMT 2025","passed","Thu Jan 23 14:26:33 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#13 Test delete suite","35014","#13 Test delete suite","Global UI suite","Thu Jan 23 14:25:04 GMT 2025","passed","Thu Jan 23 14:25:39 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
